,Location ,Latitude ,NESS ID ,Longitude ,NWS ID ,Elevation ,Agency 
ACHE,Cherry Arizona,"34° 35' 47""",3233B7EA,"112° 02' 53""",020511,5100 ft.,USFS
CUND,Underwood California,"40° 43' 19""",32748398,"123° 29' 43""",040519,2600 ft.,USFS
CRCH,Ranchita California,"33° 13' 20""",CA4526AA,"116° 29' 51""",045729,4415 ft.,S&amp;PF
OCHW,Chewaucan Oregon,"42° 39' 42""",,"120° 33' 43""",,5854 ft.,
SKIN,Kings Mountain South Carolina,"35° 08' 44""",FA6581E2,"81° 24' 08""",380601,820 ft.,NPS
CTOP,Topanga California,"34° 08' 10""",2E9123E4,"118° 36' 22""",,1600 ft.,S&amp;PF
GATH,Watkinsville Georgia,"33° 53' 48""",31003266,"83° 21' 56""",092601,675 ft.,S&amp;PF
CSRT,Saratoga Spring California,"35° 40' 50""",AAB0C2E2,"116° 25' 20""",,198 ft.,NPS
AEUT,Eutaw Alabama,"32° 54' 46""",32B3D5B4,"87° 53' 43""",013001,372 ft.,S&amp;PF
CPEP,Peppermint California,"36° 04' 24""",3231A168,"118° 32' 29""",044726,7385 ft.,USFS
ACHC,Chicken Creek Alaska,"62° 07' 27""",39603396,"141° 50' 43""",,5240 ft.,NPS
TPSF,Pickett State Forest Tennessee,"36° 32' 06""",32A1E244,"84° 48' 36""",400801,1720 ft.,S&amp;PF
BKTL,Blacktail Utah,"40° 16' 09""",521490B2,"110° 33' 44""",421307,7369 ft.,BIA
OMET,Metoluis Arm Oregon,"44° 37' 39""",5211A2E8,"121° 36' 53""",352110,3440 ft.,BIA
AOKM,Oakmulgee Alabama,"32° 57' 26""",3273B436,"87° 10' 14""",013201,363 ft.,USFS
WHOY,Hoyt Peak Wyoming,"44° 28' 08""",,"110° 07' 21""",,9800 ft.,
XBEA,Beaverhead New Mexico,"33° 25' 06""",3276130E,"108° 06' 00""",292001,6698 ft.,USFS
CYUR,Yurok California,"41° 17' 23""",15C19352,"123° 51' 27""",040427,495 ft.,BIA
MPOI,Point 6 Montana,"47° 02' 28""",326ED528,"113° 58' 45""",241519,7920 ft.,USFS
CLHO,Lost Horse California,"34° 01' 04""",FA6065D0,"116° 11' 16""",045614,4200 ft.,NPS
NIMM,Immigration Wash Nevada,"37° 55' 17""",3255B516,"114° 09' 35""",261608,6230 ft.,BLM
YCAT,Catskill Center New York,"42° 01' 39""",6250A590,"74° 16' 08""",301111,6700 ft.,S&amp;PF
CTIM,Timber Mountain California,"41° 37' 46""",3285E690,"121° 17' 53""",040306,4960 ft.,USFS
NCOI,Coils Creek Nevada,"39° 50' 00""",3252723C,"116° 29' 30""",260603,6800 ft.,BLM
AQTZ,Quartz Creek Alaska,"65° 24' 00""",3244B072,"164° 39' 00""",500215,427 ft.,BLM
MPKE,Pike Mississippi,"31° 11' 13""",391040AA,"90° 28' 41""",227001,366 ft.,S&amp;PF
AJAR,Jarvis Creek Alaska,"63° 56' 55""",32895482,"145° 37' 08""",500759,1426 ft.,DOD
XDUL,Dulce #2 New Mexico,"36° 56' 06""",52146036,"107° 00' 00""",290205,6793 ft.,BIA
TCHC,Chickasaw SF Tennessee,"35° 22' 21""",0260B2F8,"88° 49' 45""",408001,496 ft.,S&amp;PF
ISAY,Saylor Creek Bomb Range Idaho,"42° 43' 32""",32D403DA,"115° 36' 35""",,3608 ft.,DOD
CSOD,Soda Creek Colorado,"39° 33' 36""",323591C8,"105° 59' 11""",051703,9600 ft.,USFS
CDGR,Devils Garden California,"41° 31' 42""",CA207324,"120° 40' 21""",040309,5049 ft.,S&amp;PF
CADI,Adin - Portable California,"41° 37' 40""",323A975A,"121° 17' 54""",040397,5000 ft.,USFS
CCP6,Camp 6 California,"41° 49' 51""",324E3734,"123° 52' 35""",109499,3778 ft.,BLM
IBNR,Bean Ridge Illinois,"37° 14' 55""",3282D13E,"89° 22' 42""",119701,700 ft.,USFS
GTAY,Taylor's Creek Georgia,"31° 56' 36""",F8E02226,"81° 45' 16""",097802,96 ft.,DOD
FBLO,Bloxham Florida,"30° 35' 14""",3287F012,"84° 59' 19""",080802,100 ft.,USFS
NWAY,Wayah North Carolina,"35° 10' 00""",3336527A,"83° 24' 11""",315802,2160 ft.,USFS
TELE,Telegraph Flat - Kanab 17E Utah,"37° 12' 00""",325DE1CC,"112° 01' 30""",422902,5460 ft.,BLM
UDVY,Diamond Valley (BAER #12) Utah,"37° 13' 55""",327CD742,"113° 35' 22""",,4885 ft.,USFS
CBLQ,Blue Ridge (KNF) California,"41° 16' 10""",3272B6CC,"123° 11' 15""",040203,5956 ft.,USFS
AALP,Alpine Arizona,"33° 50' 30""",326F12CC,"109° 07' 20""",020401,8031 ft.,USFS
MFOU,Main Boulder Montana,"45° 20' 00""",323FE60A,"110° 13' 00""",244705,5700 ft.,USFS
TZAV,Zavalla Texas,"31° 10' 38""",32888010,"94° 23' 02""",413503,127 ft.,USFS
IARC,Arco Idaho,"43° 37' 23""",325CD6AC,"113° 23' 14""",101905,5380 ft.,BLM
WMTB,Mt. Baker Washington,"48° 51' 45""",,"121° 41' 22""",,6500 ft.,USFS
CMAP,Maple Creek California,"40° 47' 47""",CA4A2038,"123° 56' 12""",040424,1680 ft.,S&amp;PF
AGLO,Globe Arizona,"33° 21' 01""",3283E65E,"110° 39' 07""",020601,3650 ft.,USFS
ISTE,Stephens State Forest Iowa,"40° 59' 42""",FD1042FE,"93° 28' 35""",138401,960 ft.,S&amp;PF
CHAY,Hayfork California,"40° 33' 00""",324236A8,"123° 09' 54""",040503,2323 ft.,USFS
MFIE,Fielding Montana,"48° 16' 40""",FA65326C,"113° 26' 08""",240225,4600 ft.,NPS
AKAN,Kanuti NWR Alaska,"66° 05' 36""",1260A60A,"152° 10' 12""",500321,825 ft.,FWS
VUPP,Upper Tract West Virginia,"38° 49' 00""",9000958E,"79° 16' 38""",463501,1705 ft.,S&amp;PF
AFPK,Fourpeaked Alaska,"58° 42' 21""",328135C2,"153° 31' 05""",,1074 ft.,NPS
CSC1,OP1 - San Clemente Island California,"32° 49' 35""",9330D212,"118° 21' 42""",,622 ft.,DOD
MMNR,Monroe Mississippi,"33° 47' 38""",3910B02E,"88° 20' 48""",222401,354 ft.,S&amp;PF
NFOX,Fox Mountain Nevada,"41° 00' 22""",3256F112,"119° 34' 05""",260110,6890 ft.,BLM
AINN,Innoko Flats Alaska,"63° 23' 24""",324394AA,"158° 49' 00""",500615,930 ft.,BLM
XMOU,Mountainaire New Mexico,"34° 31' 14""",3283A554,"106° 15' 41""",291501,6500 ft.,USFS
WWRX,Wind River Exp. Forest Washington,"45° 48' 51""",3244C6E2,"121° 57' 02""",,1246 ft.,USFS
OCED,Cedar Oregon,"45° 12' 42""",3260D140,"123° 46' 19""",350215,2240 ft.,USFS
ULAK,Lake Utah,"37° 17' 42""",327E47D4,"111° 08' 23""",,7426 ft.,BLM
MSOD,Soda Springs Montana,"45° 43' 44""",327A42EE,"108° 23' 48""",245001,4020 ft.,BIA
COWV,Owens Valley California,"37° 23' 24""",CA49F15E,"118° 33' 02""",044803,4640 ft.,S&amp;PF
CBRF,Bear Flat California,"41° 17' 42""",32891788,"120° 18' 48""",040313,6200 ft.,USFS
ASNI,Snipe Lake Alaska,"60° 36' 37""",328041A8,"154° 19' 12""",,2300 ft.,NPS
WSPR,Spring Canyon Washington,"47° 56' 05""",FA500646,"118° 56' 05""",453002,1340 ft.,NPS
TGRA,Granbury Texas,"32° 26' 49""",88412360,"97° 49' 01""",419702,708 ft.,S&amp;PF
ARUT,Ruth Glacier Alaska,"62° 42' 35""",3960157A,"150° 32' 23""",,3300 ft.,NPS
CBUR,Burns Canyon California,"34° 12' 37""",325775FC,"116° 38' 02""",045125,6000 ft.,BLM
MEUR,Eureka Montana,"48° 54' 00""",3272F5C6,"115° 01' 00""",240110,2800 ft.,USFS
CMAD,Mad River California,"40° 27' 48""",3242B0BC,"123° 31' 26""",040507,2775 ft.,USFS
ATAG,Tag Mtn Alaska,"66° 10' 51""",32927658,"158° 39' 36""",500216,2017 ft.,FWS
AROU,Round Lake Alaska,"64° 41' 05""",126080E6,"153° 56' 24""",500736,570 ft.,FWS
MSIE,Sierra Montana,"48° 02' 12""",060090AE,"111° 47' 36""",,2510 ft.,DOD
NDAV,Davidson River North Carolina,"35° 21' 02""",3335167E,"82° 46' 43""",316001,3200 ft.,USFS
NINC,Incline Village (RAWS) Nevada,"39° 15' 04""",,"119° 58' 01""",,6828 ft.,
SCSP,Custer State Park South Dakota,"43° 43' 43""",32D35192,"103° 21' 15""",393507,3950 ft.,S&amp;PF
CBEU,Beaumont California,"33° 55' 50""",CA264670,"116° 57' 00""",045617,2604 ft.,S&amp;PF
GFTB,Ft. Benning Georgia,"32° 23' 48""",FBE0062C,"84° 52' 12""",,467 ft.,DOD
CEUR,Eureka Valley California,"37° 10' 35""",32D791B6,"117° 47' 19""",,2975 ft.,NPS
CMET,Metcalf Gap California,"37° 24' 34""",CA2226AC,"119° 46' 05""",044209,3077 ft.,S&amp;PF
IPRI,Priest River Idaho,"48° 22' 00""",,"116° 48' 00""",,3100 ft.,
WHUC,Huckleberry Ridge Washington,"46° 30' 01""",30004554,"123° 24' 03""",450407,2425 ft.,S&amp;PF
CMCC,McClure Pass Colorado,"39° 07' 36""",3235B724,"107° 17' 05""",052810,9018 ft.,USFS
MSHH,Sheepherder Hill Montana,"49° 00' 03""",AA1175C0,"114° 28' 41""",240227,3090 ft.,USFS
OMUT,Mutton Mountain Oregon,"44° 55' 33""",5211B19E,"121° 11' 40""",350917,4100 ft.,BIA
WKID,Kidney Creek Washington,"49° 00' 00""",3261C0CC,"121° 54' 00""",451409,3000 ft.,USFS
NDBR,DARE Bomb Range North Carolina,"35° 45' 39""",40722500,"75° 51' 08""",315406,3 ft.,S&amp;PF
AHEL,Helmut Mountain Alaska,"67° 44' 29""",126006F2,"144° 07' 21""",500731,2800 ft.,FWS
AKAI,Kaiyuh Alaska,"64° 25' 32""",837026CE,"158° 06' 21""",500322,110 ft.,FWS
TPRE,Prentice Cooper SF Tennessee,"35° 07' 49""",02606490,"85° 25' 40""",409201,1920 ft.,S&amp;PF
IAN3,IDARNG3 D2 Idaho,"43° 06' 20""",32B017A4,"115° 59' 50""",,2918 ft.,DOD
VJAM,James River Virginia,"37° 15' 00""",8377A2EE,"77° 15' 00""",446801,50 ft.,FWS
XRAM,Ramah New Mexico,"34° 59' 41""",5213F760,"108° 24' 46""",293305,7038 ft.,BIA
CALD,Alder Springs California,"39° 39' 05""",323A4132,"122° 43' 25""",041101,4300 ft.,USFS
CPHI,Pine Hills California,"33° 00' 59""",3230036A,"116° 38' 02""",045711,0 ft.,USFS
TFCL,Fort Campbell Tennessee,"36° 37' 32""",C50003F6,"87° 32' 13""",400201,545 ft.,DOD
CBOR,Boron California,"35° 04' 36""",,"117° 35' 06""",045123,2893 ft.,BLM
OSLK,Summer Lake Oregon,"42° 43' 19""",326E25AC,"120° 45' 10""",353429,5085 ft.,USFS
VFLA,Flatwoods West Virginia,"38° 41' 02""",9000650A,"80° 38' 58""",463301,1267 ft.,S&amp;PF
ACTT,Cottonwood Ridge Arizona,"34° 11' 59""",3257C672,"110° 07' 09""",109890,6860 ft.,BIA
CRDR,Reader Ranch California,"39° 18' 13""",CA2171DE,"121° 07' 02""",041809,1968 ft.,S&amp;PF
ABCK,Birch Creek Alaska,"65° 35' 05""",324C5726,"144° 21' 49""",500423,850 ft.,BLM
CSCE,San Clemente NRO California,"32° 59' 46""",93305406,"118° 33' 11""",,700 ft.,DOD
HPUN,Puuanahulu Hawaii,"19° 49' 58""",48703040,"155° 46' 11""",496027,2725 ft.,S&amp;PF
KCRI,Crittenden Kentucky,"38° 46' 09""",403005C4,"84° 36' 07""",150703,935 ft.,S&amp;PF
CDNK,Dinkey California,"37° 03' 59""",326EF3C4,"119° 02' 22""",044521,5668 ft.,USFS
OPOW,Powers R.S. Oregon,"42° 52' 15""",326211AA,"124° 03' 45""",352814,297 ft.,USFS
LPSF,Port Sulfur (FRWS-7),"29° 28' 50""",,"89° 41' 37""",,30 ft.,
CSWE,Sweetwater California,"37° 23' 48""",,"121° 29' 06""",,2150 ft.,
CDUN,Duncan California,"39° 08' 38""",3274731C,"120° 30' 32""",041901,7100 ft.,USFS
COKN,Oakland North California,"37° 51' 54""",CA4A06D4,"122° 13' 15""",043402,1403 ft.,S&amp;PF
WPAL,Pal Moore Orchard Washington,"48° 23' 21""",32459464,"117° 34' 58""",452915,3120 ft.,USFS
NRER,Red Rock Nevada,"36° 08' 07""",32516644,"115° 25' 38""",261705,3760 ft.,BLM
COG2,Oak Grove #2 California,"33° 23' 09""",,"116° 47' 48""",,2607 ft.,
HPUO,Puu Opae Hawaii,"22° 02' 27""",4870734A,"159° 41' 45""",495009,2142 ft.,S&amp;PF
IJBB,Juniper Butte Bomb Range Idaho,"42° 19' 47""",32D3F16A,"115° 21' 46""",,4923 ft.,DOD
IEZR,Ezra Creek Idaho,"44° 50' 47""",325103A2,"114° 01' 35""",101314,6660 ft.,USFS
CGME,Grand Mesa Colorado,"39° 02' 02""",,"107° 58' 37""",,10214 ft.,
CBOO,Boonville California,"38° 59' 15""",CA4576D6,"123° 20' 55""",041001,644 ft.,S&amp;PF
CREA,Redding Airport California,"40° 30' 57""",CA2AE714,"122° 17' 26""",040611,500 ft.,USFS
PVIE,Vieques Puerto Rico,"18° 07' 18""",837AB2FE,"65° 24' 58""",,98 ft.,FWS
WENT,Entiat Washington,"47° 40' 28""",32417C7E,"120° 12' 39""",452136,796 ft.,USFS
ATAN,Tana Knob Alaska,"60° 54' 29""",3960709C,"142° 41' 52""",,3450 ft.,NPS
WSAL,Salt Lick Creek Wyoming,"44° 06' 08""",,"107° 21' 35""",480905,5940 ft.,BLM
KMAC,Maca2 Kentucky,"37° 07' 53""",,"86° 08' 53""",,774 ft.,
PCOF,Coffin Rock Pennsylvania,"41° 14' 16""",32A08558,"77° 45' 06""",360351,3227 ft.,S&amp;PF
WKOS,Kosmos Washington,"46° 31' 40""",3000D036,"122° 12' 05""",451105,2425 ft.,S&amp;PF
I3MI,3 Mile Idaho,"44° 23' 45""",326F772A,"112° 06' 29""",102004,6625 ft.,USFS
XBOS,Bosque New Mexico,"33° 49' 14""",837141D2,"106° 52' 54""",292103,4455 ft.,FWS
TPOS,Possume Kingdom Texas,"32° 51' 00""",8840A78E,"98° 33' 00""",419402,925 ft.,S&amp;PF
CESP,Esperanza California,"38° 14' 34""",CA21F7CA,"120° 30' 54""",043211,2559 ft.,S&amp;PF
ITOW,Town Creek Idaho,"43° 56' 00""",3241CFF0,"115° 55' 00""",101708,4500 ft.,USFS
WJIM,Jim Creek Washington,"48° 10' 43""",,"122° 01' 45""",,786 ft.,
WSMT,South Mountain Washington,"47° 17' 00""",,"123° 20' 30""",,3070 ft.,
HKAN,Kaneloa Hawaii,"20° 31' 20""",32793370,"156° 33' 57""",,815 ft.,S&amp;PF
MINE,Miners Draw - Jensen 13W Utah,"40° 22' 35""",,"109° 05' 05""",421409,8130 ft.,BLM
YLON,Long Island New York,"40° 46' 00""",8377F292,"72° 54' 00""",305803,500 ft.,FWS
VPRW,Prince William Virginia,"38° 33' 53""",FA64906E,"77° 22' 16""",,35 ft.,NPS
CBUU,Buttercup California,"32° 44' 23""",325C355E,"114° 53' 02""",045804,217 ft.,BLM
TGUR,Guadalupe River SP Texas,"29° 51' 34""",8841058C,"98° 30' 19""",418101,1147 ft.,S&amp;PF
CBIR,Big Rock California,"38° 02' 22""",CA28F196,"122° 34' 12""",42310,1500 ft.,S&amp;PF
CPIH,Pinehurst California,"36° 41' 07""",327223AE,"119° 00' 00""",044508,4060 ft.,USFS
MLRC,Little Rock Creek Montana,"46° 02' 16""",3282E4A4,"114° 15' 45""",242914,5507 ft.,USFS
CSRP,Scott Rvr - Portable California,"41° 36' 00""",3239554A,"122° 51' 20""",,4000 ft.,USFS
MKNO,Knowlton Montana,"46° 18' 42""",325AE3F8,"105° 01' 20""",244102,3320 ft.,BLM
WFLO,Flowery Trail Washington,"48° 17' 51""",323194F2,"117° 24' 14""",453145,2600 ft.,USFS
APKP,Polk Peak Alaska,"55° 21' 13""",,"132° 28' 40""",,800 ft.,
CCHC,Chico California,"39° 42' 43""",CA215732,"121° 46' 44""",041210,230 ft.,S&amp;PF
IDEA,Catfish Idaho,"44° 19' 32""",3250B2D6,"117° 10' 04""",101402,3570 ft.,BLM
IPIT,Pittsburg Landing Idaho,"45° 38' 15""",837035B8,"116° 28' 07""",101100,1150 ft.,USFS
MCAM,Camp Four Gulch Montana,"47° 10' 00""",3233476E,"114° 48' 00""",241308,4640 ft.,USFS
IBEA,Bearskin Creek Idaho,"44° 23' 06""",3241D254,"115° 33' 00""",101221,6700 ft.,USFS
ACHL,Chalkyitsik Alaska,"66° 35' 26""",83700022,"144° 20' 28""",500421,450 ft.,FWS
OMOR,Morgan Mountain Oregon,"44° 31' 00""",3253A6AE,"117° 17' 00""",352420,3600 ft.,BLM
CSOL,Soldier Mountain California,"40° 55' 33""",CA20B63A,"121° 35' 08""",040630,3710 ft.,S&amp;PF
NSPV,Spring Valley (Ely #1) Nevada,"39° 54' 50""",,"114° 29' 59""",,6890 ft.,
MNOX,Noxubee Mississippi,"33° 16' 35""",83786162,"88° 47' 33""",224101,350 ft.,FWS
MPRY,Pryor Mountain Montana,"45° 20' 15""",521124FC,"108° 29' 27""",245106,6186 ft.,BIA
CFRA,Franktown Colorado,"39° 23' 32""",DC000612,"104° 45' 03""",,6158 ft.,S&amp;PF
GNEW,Newnan Georgia,"33° 21' 55""",310044F6,"84° 51' 34""",092901,775 ft.,S&amp;PF
VKIN,Kingwood West Virginia,"39° 24' 24""",900086F8,"79° 42' 03""",460901,1873 ft.,S&amp;PF
CNOV,November 01 Colorado,"40° 37' 53""",06003056,"103° 50' 12""",,4794 ft.,DOD
MCOV,Covington Mississippi,"31° 44' 59""",391053DC,"89° 30' 59""",226502,290 ft.,S&amp;PF
CWEE,Weed Airport California,"41° 28' 44""",CA2055C8,"122° 27' 14""",040228,2930 ft.,S&amp;PF
HMAH,Makaha Ridge Hawaii,"22° 07' 50""",3286026C,"159° 42' 55""",495005,1788 ft.,S&amp;PF
MCOY,Coyote Meadow - Portable Montana,"46° 06' 00""",3241A4C4,"113° 55' 00""",242991,7920 ft.,USFS
SSV2,Savriv South Carolina,"33° 12' 38""",32865210,"81° 35' 26""",383101,390 ft.,USFS
XTRU,Truchas New Mexico,"36° 03' 32""",328383B8,"105° 46' 10""",290210,8340 ft.,USFS
TCAP,Caprock Texas,"34° 24' 38""",8841E67E,"101° 02' 57""",418901,2561 ft.,S&amp;PF
MCCO,McCook Ridge,"39° 38' 02""",324CD132,"109° 15' 57""",421405,7000 ft.,BLM
AWAR,Warm Springs Canyon Arizona,"36° 42' 00""",32401B62,"112° 13' 48""",020216,8010 ft.,USFS
HMRG,Makua Ridge Hawaii,"21° 32' 34""",3266C2F8,"158° 11' 56""",490302,1750 ft.,DOD
OZIM,Zim Oregon,"42° 41' 06""",16C46822,"122° 23' 25""",353227,4089 ft.,USFS
ALAK,Lakeside Arizona,"34° 09' 36""",32840798,"109° 58' 48""",020303,7000 ft.,USFS
MHEL,Helena Montana,"46° 43' 07""",32568782,"112° 00' 06""",241907,3840 ft.,USFS
LGUM,Gum Springs Louisiana,"31° 54' 00""",32744686,"92° 46' 02""",161902,300 ft.,USFS
NMRN,Martin Creek Nevada,"41° 40' 39""",32A1F132,"117° 18' 26""",260210,6439 ft.,BLM
GPLA,Plains/Sumter Georgia,"32° 00' 35""",3100929E,"84° 19' 48""",095501,526 ft.,S&amp;PF
MASS,Assateague Island Maryland,"38° 04' 00""",FA6141C6,"75° 12' 05""",180335,12 ft.,NPS
CCSX,Camp Six California,"41° 49' 51""",333135A8,"123° 52' 35""",040101,3778 ft.,USFS
SMRC,Marshall Co. South Dakota,"45° 48' 14""",8376A014,"97° 27' 03""",390701,2010 ft.,FWS
MARM,Armells Creek Montana,"47° 35' 12""",32544768,"108° 52' 10""",242205,2845 ft.,BLM
MWIC,Wicked Creek Montana,"45° 16' 14""",323F2314,"110° 32' 36""",244706,7604 ft.,USFS
IPIN,Pine Creek Idaho,"44° 15' 00""",3241DC86,"116° 10' 48""",101222,4400 ft.,USFS
ENSI,Ensign - Bountiful 5NE,"40° 48' 00""",32414736,"111° 55' 00""",420601,5607 ft.,USFS
CGHP,Grasshopper California,"40° 46' 54""",CA2090D6,"120° 47' 04""",040721,6158 ft.,S&amp;PF
ATLA,T Lake Alaska,"63° 45' 12""",339054E2,"143° 49' 00""",500723,2073 ft.,S&amp;PF
ITAY,Taylor Ranch Idaho,"45° 06' 07""",3265D680,"114° 51' 06""",101101,3949 ft.,USFS
ICTT,Cotton Ridge Idaho,"42° 10' 25""",AAC4A792,"114° 12' 16""",104007,7585 ft.,USFS
MTUP,Tupelo Mississippi,"34° 19' 50""",FA671174,"88° 42' 25""",221602,320 ft.,NPS
OCRO,Crow Flat Oregon,"43° 50' 00""",326241D6,"118° 57' 00""",353515,5130 ft.,USFS
XEIG,Eight Mile Draw New Mexico,"33° 39' 04""",327CA1D2,"104° 19' 18""",292301,3697 ft.,BLM
NHOF,Hofmann Forest North Carolina,"34° 49' 30""",3281B3D6,"77° 19' 19""",319507,42 ft.,S&amp;PF
IPIE,Pierce Idaho,"46° 30' 00""",32374254,"115° 50' 00""",100711,3085 ft.,USFS
ISAD,Saddle Pass Idaho,"48° 56' 30""",3249657C,"116° 43' 45""",100107,5120 ft.,USFS
CATT,Altamont California,"37° 41' 35""",CA400786,"121° 36' 34""",043407,1436 ft.,S&amp;PF
CSRO,Santa Rosa Plateau California,"33° 31' 43""",CA4A6332,"117° 13' 50""",045623,1980 ft.,S&amp;PF
ABER,Bering Glacier Alaska,"60° 07' 07""",3244108A,"143° 17' 00""",,75 ft.,BLM
FIVE,Five Mile - Duchesne 18SSE Utah,"39° 52' 52""",3251254E,"110° 15' 57""",421304,8000 ft.,BLM
MCAN,Cannonball Creek Montana,"46° 29' 05""",3276C566,"104° 03' 57""",244301,2930 ft.,BLM
CRIF,Rifle Colorado,"39° 30' 44""",324A7104,"107° 44' 57""",051504,6120 ft.,BLM
CRIC,Rice Valley California,"34° 03' 39""",3277F206,"114° 43' 56""",045620,820 ft.,BLM
MGAT,Gates Park Montana,"47° 47' 23""",16C4536A,"112° 56' 22""",241601,6900 ft.,USFS
IMNK,Mink Creek Idaho,"42° 47' 39""",,"112° 23' 50""",,4620 ft.,
MPPV,Poplarville Mississippi,"30° 40' 04""",32522240,"89° 32' 46""",,310 ft.,BLM
PASE,Ashley Pennsylvania,"41° 12' 00""",,"75° 53' 19""",,1402 ft.,
ORAN,Ranch Oregon,"45° 12' 48""",3236B02A,"118° 40' 02""",351315,4700 ft.,USFS
GDIN,Ding Darling NWR Georgia,"26° 26' 21""",3279E518,"82° 05' 52""",,10 ft.,FWS
CPUL,Pulgas California,"37° 28' 30""",CA41C062,"122° 17' 53""",043307,644 ft.,S&amp;PF
IGRG,Grangeville Idaho,"45° 56' 17""",,"116° 07' 22""",,3296 ft.,
CBB2,Burney Basin #2 California,"40° 54' 18""",,"121° 38' 42""",,3122 ft.,
OGRA,Grassy Ridge Oregon,"42° 42' 30""",,"118° 09' 17""",353617,4510 ft.,BLM
PQUA,Quarry Trail Pennsylvania,"40° 07' 52""",D6805150,"79° 12' 58""",361291,2630 ft.,S&amp;PF
CHOE,Hoeppel California,"32° 55' 36""",9330C164,"118° 31' 54""",,535 ft.,DOD
CSDV,San Doval Colorado,"37° 05' 58""",32661490,"107° 18' 10""",055902,8491 ft.,BIA
WPUN,Punp Wyoming,"42° 15' 34""",,"110° 48' 30""",,8400 ft.,
KTRI,Triangle Mtn Kentucky,"38° 10' 30""",328492FA,"83° 24' 30""",152001,1360 ft.,USFS
CNVF,Novato Fire - Robinhood California,"38° 06' 45""",52014684,"122° 32' 59""",,482 ft.,S&amp;PF
IWIR,Willow Ridge Idaho,"44° 07' 48""",,"116° 28' 12""",,4280 ft.,
CLFL,Las Flores California,"33° 18' 35""",923046D2,"117° 25' 25""",045733,760 ft.,DOD
MWTT,Whittaker (Portable) Montana,"45° 29' 17""",,"109° 52' 18""",,6400 ft.,
AHOW,Howard Pass Alaska,"68° 09' 22""",39617266,"156° 53' 45""",,2062 ft.,NPS
MORR,Orr Minnesota,"48° 01' 08""",7070E3B4,"92° 51' 26""",210514,1325 ft.,S&amp;PF
HSCO,Schofield Barracks Hawaii,"21° 29' 42""",3266A71E,"158° 04' 55""",499902,980 ft.,DOD
AJUM,Jump-off Ridge Arizona,"34° 13' 25""",,"110° 20' 33""",,7090 ft.,BIA
HNEN,Nene Cabin Hawaii,"19° 15' 23""",32D64524,"155° 36' 52""",,6581 ft.,NPS
WWAS,Washington Pass Washington,"48° 31' 31""",,"120° 38' 50""",452033,5460 ft.,USFS
FHON,Honeymoon Florida,"26° 11' 41""",AAB081E8,"81° 04' 01""",,14 ft.,NPS
WJUN,Juniper Dunes Washington,"46° 21' 54""",3264A2EA,"118° 52' 46""",453201,950 ft.,BLM
FPAE,Panther East Florida,"26° 10' 07""",32810058,"812° 15' 2 """,086405,15 ft.,FWS
AVUN,Vunzik Lake Alaska,"66° 47' 53""",1260E500,"146° 42' 57""",500420,525 ft.,FWS
MCUR,Curry Coulee Montana,"47° 23' 14""",325921E8,"107° 43' 52""",242405,2970 ft.,BLM
TJAY,Jayton Texas,"33° 13' 57""",32B047D8,"100° 34' 04""",419001,1905 ft.,S&amp;PF
PBEA,Bears Head Pennsylvania,"40° 51' 02""",D68027C0,"76° 04' 50""",361071,2094 ft.,S&amp;PF
WHAM,Hamilton Mountain Washington,"45° 42' 00""",30001528,"122° 04' 00""",451928,2000 ft.,S&amp;PF
CTAN,Tanbark California,"34° 12' 25""",324837FA,"117° 45' 38""",045421,2600 ft.,USFS
MKEL,Kelly Montana,"45° 34' 31""",,"112° 33' 27""",245505,6330 ft.,BLM
OROV,Rover Oregon,"43° 01' 10""",FA61F248,"122° 00' 01""",353345,5250 ft.,NPS
ABNV,Booneville Arkansas,"35° 08' 34""",3334B47C,"93° 53' 42""",033001,343 ft.,USFS
SMAR,Marion 01 South Carolina,"34° 11' 09""",AAA26070,"79° 20' 10""",382901,93 ft.,S&amp;PF
WADA,Adams Wyoming,"44° 16' 40""",AAC150D6,"104° 06' 47""",,5908 ft.,USFS
CSHH,School House California,"41° 08' 18""",FA6371A8,"123° 54' 20""",040425,2640 ft.,NPS
ABAR,Baragan Wash Arizona,"32° 58' 03""",,"113° 26' 58""",020702,485 ft.,BLM
CKYB,Sugarloaf (ENF) California,"38° 47' 02""",327490EE,"120° 18' 39""",042614,5653 ft.,USFS
OOAA,Oakridge Airport Oregon,"43° 45' 00""",,"122° 28' 00""",,1475 ft.,
CPLH,Polhemus Colorado,"39° 15' 17""",326A150C,"105° 07' 55""",053103,8683 ft.,USFS
CWPS,Walker Passe California,"35° 39' 45""",324DB62E,"118° 01' 32""",109790,5217 ft.,BLM
SAGC,Sage Creek,"41° 15' 00""",,"111° 10' 00""",,7000 ft.,
XMON,Montano New Mexico,"35° 08' 45""",333221D0,"106° 40' 51""",,4975 ft.,BLM
VAUG,Augusta West Virginia,"39° 17' 57""",,"78° 38' 58""",,1130 ft.,
HPUL,Puu Lua Hawaii,"22° 05' 21""",487083CE,"159° 40' 45""",495007,3350 ft.,S&amp;PF
OKEL,Kelsay Butte Oregon,"43° 54' 05""",32557008,"117° 59' 09""",353613,5187 ft.,BLM
MTEN,Tenderfoot Montana,"46° 54' 51""",3248E192,"110° 51' 10""",242992,7360 ft.,USFS
